environment,policy,gain,bias
env-a2,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0))",0.0,5.0
env-a2,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1))",0.0,5.0
env-a2,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0))",0.0,2.0
env-a2,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1))",0.0,2.0
env-a2,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0))",0.0,5.0
env-a2,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1))",0.0,5.0
env-a2,"(np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0))",0.0,2.0
env-a2,"(np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1))",0.0,2.0
env-a2,"(np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0))",0.0,5.0
env-a2,"(np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1))",0.0,5.0
env-a2,"(np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0))",0.0,2.0
env-a2,"(np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1))",0.0,2.0
env-a2,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0))",0.0,5.0
env-a2,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1))",0.0,5.0
env-a2,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0))",0.0,2.0
env-a2,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1))",0.0,2.0
env-a2,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0))",0.0,6.0
env-a2,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1))",0.0,6.0
env-a2,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0))",0.0,3.0
env-a2,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1))",0.0,3.0
env-a2,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0))",0.0,6.0
env-a2,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1))",0.0,6.0
env-a2,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0))",0.0,3.0
env-a2,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1))",0.0,3.0
env-a2,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0))",0.0,6.0
env-a2,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1))",0.0,6.0
env-a2,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0))",0.0,3.0
env-a2,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1))",0.0,3.0
env-a2,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0))",0.0,6.0
env-a2,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1))",0.0,6.0
env-a2,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0))",0.0,3.0
env-a2,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1))",0.0,3.0
