environment,policy,gain,bias
env-b2,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0))",9.2,35.906666666666666
env-b2,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1))",9.365853658536587,34.51695419393218
env-b2,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0))",12.5,17.333333333333336
env-b2,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1))",13.151515151515152,15.165289256198342
env-b2,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0))",8.620689655172415,35.128418549346016
env-b2,"(np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1))",8.806722689075631,33.69571357954946
env-b2,"(np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0))",12.891304347826088,18.344045368620037
env-b2,"(np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1))",13.344537815126051,16.366005225619652
env-b2,"(np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0))",9.2,35.906666666666666
env-b2,"(np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1))",9.365853658536587,34.51695419393218
env-b2,"(np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0))",12.5,17.333333333333336
env-b2,"(np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1))",13.151515151515152,15.165289256198342
env-b2,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0))",8.620689655172415,35.128418549346016
env-b2,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1))",8.806722689075631,33.69571357954946
env-b2,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0))",12.891304347826088,18.344045368620037
env-b2,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1))",13.344537815126051,16.366005225619652
env-b2,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0))",9.2,15.106666666666664
env-b2,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1))",9.365853658536587,13.882807852468769
env-b2,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0))",12.5,-0.16666666666667496
env-b2,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1))",13.151515151515152,-1.6831955922865056
env-b2,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0))",8.620689655172415,13.749108204518429
env-b2,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1))",8.806722689075631,12.502436268625098
env-b2,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0))",12.891304347826088,1.2353497164461196
env-b2,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1))",13.344537815126051,-0.28945695925428794
env-b2,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0))",9.2,15.106666666666664
env-b2,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1))",9.365853658536587,13.882807852468769
env-b2,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0))",12.5,-0.16666666666667496
env-b2,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1))",13.151515151515152,-1.6831955922865056
env-b2,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0))",8.620689655172415,13.749108204518429
env-b2,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1))",8.806722689075631,12.502436268625098
env-b2,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0))",12.891304347826088,1.2353497164461196
env-b2,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1))",13.344537815126051,-0.28945695925428794
