environment,policy,gain,bias
env-b3,"(np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1))",0.9735849056603771,3.621075115699537
env-b3,"(np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1.4264150943396199,-0.26642933428264737
env-b3,"(np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1.0197628458498023,3.4954147073067854
env-b3,"(np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1.114624505928852,2.557671577434433
env-b3,"(np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1.0079999999999998,3.58
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0))",3.047999999999999,-9.86
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1))",1.396039603960396,3.023184001568474
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0))",1.8712871287128692,-1.34168218802077
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1))",1.357894736842105,3.350138504155125
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0))",1.9894736842105243,-1.906094182825477
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1))",1.4494382022471908,3.080040398939528
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0))",1.5842696629213462,1.767895467743985
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1))",1.4399999999999997,3.16857142857143
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0))",2.1599999999999984,-2.5828571428571347
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1))",1.5828220858895705,2.7809853588768867
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1.7300613496932487,1.3415634762317135
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1))",1.5749999999999997,2.8638671874999995
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1.7624999999999977,1.2085937500000128
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1.605095541401274,2.759969978498113
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1.6433121019108263,2.379569150878343
env-b3,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1.6032,2.7808
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0))",3.676800000000001,-2.460800000000006
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1))",0.8729792147806004,15.034727370672412
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0))",1.759815242494225,7.516078276592234
