iteration,theta0,theta1,gain
0,0.0,0.0,10.17393509127789
1,-2.9787573699130636,-0.9433041279741943,13.343964663537879
2,-3.142537639882799,2.357577038751045,13.334735786894118
3,-5.926185434767901,2.667281232645604,13.344524352436116
4,-5.9294235622689735,3.677033851121813,13.344501124463878
5,-5.9382437177063565,4.073770663076955,13.344484301129064
6,-5.951101805835693,4.341785911761951,13.344469791549287
7,-5.967436129376754,4.5454366042579695,13.344457347233815
8,-5.986744386982711,4.709604602647053,13.34444689748953
9,-6.008541614323504,4.846866740479097,13.344438351085792
10,-6.032365627951086,4.964567408860683,13.344431569491832
11,-6.057788689585172,5.067409252376613,13.344426376463037
12,-6.084426667972618,5.158601613851294,13.344422575607393
13,-6.111943826237754,5.240438494133534,13.344419966792373
14,-6.140053569284544,5.314617642583201,13.344418358408415
15,-6.168516197531113,5.382429790035449,13.344417575104366
16,-6.197134792971966,5.444877453239131,13.34441746170125
17,-6.2257501799150825,5.50275304102166,13.344417884314485
18,-6.254235643617843,5.556692165899427,13.344418729662403
19,-6.282491846760558,5.607211162924334,13.344419903340016
20,-6.3104421914553175,5.654734165240673,13.344421327612745
21,-6.338028738541782,5.699613052941854,13.3444229390908
22,-6.365208708218401,5.742142408532166,13.344424686498018
23,-6.391951534663693,5.78257089545643,13.344426528646748
24,-6.418236420925732,5.821110026136885,13.344428432664735
25,-6.444050330001131,5.857940994391067,13.344430372480204
26,-6.469386347194532,5.893220052915029,13.34443232754986
27,-6.494242353178794,5.927082784043646,13.344434281804027
28,-6.518619953895544,5.959647519738937,13.344436222779699
29,-6.542523620890031,5.991018101343299,13.344438140912754
30,-6.5659600029413285,6.021286122532652,13.34444002896278
31,-6.588937376467705,6.0505327645281985,13.344441881547354
32,-6.611465207972107,6.078830307237953,13.34444369476584
33,-6.633553806715174,6.106243381051807,13.344445465896046
34,-6.655214049915582,6.1328300097384405,13.344447193149955
35,-6.676457166169432,6.158642484044599,13.344448875477184
36,-6.697294565552749,6.183728097288582,13.344450512407034
37,-6.717737707122698,6.208129767829617,13.344452103921524
38,-6.737797996353411,6.231886568315403,13.344453650353529
39,-6.75748670650942,6.2550341777173255,13.344455152305025
40,-6.776814919139792,6.277605269101169,13.344456610581615
41,-6.795793479824062,6.29962984365922,13.34445802614009
42,-6.8144329660622205,6.321135519603147,13.344459400046588
43,-6.832743664811952,6.342147782976866,13.344460733443203
44,-6.850735557666892,6.362690206210738,13.344462027521478
45,-6.868418312063613,6.382784639238928,13.344463283501426
46,-6.885801277221722,6.402451377190954,13.344464502614969
47,-6.902893483776047,6.421709308007639,13.344465686093045
48,-6.919703646264874,6.440576042790893,13.344466835155528
49,-6.936240167803205,6.459068031252294,13.344467951003558
50,-6.952511146403118,6.477200664258693,13.34446903481371
51,-6.968524382510556,6.494988365169164,13.344470087733658
52,-6.984287387414529,6.5124446714050315,13.344471110879104
53,-6.999807392254628,6.529582307483808,13.344472105331636
54,-7.015091357409216,6.5464132505712165,13.344473072137356
55,-7.030145982092315,6.562948789457074,13.344474012306144
56,-7.044977714024036,6.579199577735602,13.344474926811388
57,-7.059592759069167,6.595175681864831,13.344475816590116
58,-7.073997090762549,6.610886624689882,13.344476682543382
59,-7.088196459659201,6.626341424938424,13.344477525536915
60,-7.102196402462764,6.641548633131243,13.344478346401932
61,-7.116002250898308,6.6565163642949665,13.344479145936056
62,-7.129619140305618,6.671252327815972,13.344479924904341
63,-7.143052017937027,6.685763854733121,13.344480684040388
64,-7.1563056509502845,6.700057922731348,13.344481424047384
65,-7.169384634091937,6.714141179067144,13.344482145599331
66,-7.182293397070678,6.728019961630351,13.344482849342121
67,-7.195036211623194,6.7417003183231845,13.344483535894724
68,-7.207617198277391,6.7551880249172696,13.344484205850256
69,-7.220040332819708,6.768488601531639,13.344484859777113
70,-7.232309452474504,6.7816073278591285,13.344485498220036
71,-7.244428261804516,6.794549257254999,13.344486121701127
72,-7.256400338341999,6.807319229789595,13.344486730720886
73,-7.268229137960598,6.819921884356326,13.344487325759152
74,-7.279917999998224,6.832361669916904,13.344487907276044
75,-7.291470152141278,6.844642855957571,13.344488475712858
76,-7.302888715080526,6.856769542222663,13.34448903149293
77,-7.314176706948799,6.868745667785488,13.344489575022429
78,-7.32533704755048,6.8805750195106,13.344490106691197
79,-7.336372562392497,6.892261239956532,13.34449062687343
80,-7.347285986526221,6.903807834763362,13.34449113592844
81,-7.358079968209387,6.915218179565454,13.344491634201319
82,-7.368757072396776,6.926495526466026,13.344492122023583
83,-7.379319784068064,6.937643010106886,13.344492599713817
84,-7.3897705114009025,6.948663653363773,13.34449306757823
85,-7.400111588796907,6.959560372695017,13.344493525911231
86,-7.410345279767916,6.9703359831688925,13.344493974995956
87,-7.420473779689509,6.980993203192844,13.344494415104794
88,-7.430499218428449,6.991534658965849,13.34449484649983
89,-7.440423662850387,7.001962888673374,13.344495269433352
90,-7.4502491192138445,7.012280346442824,13.344495684148239
91,-7.459977535456191,7.0224894060759215,13.344496090878414
92,-7.469610803377038,7.032592364573123,13.344496489849217
93,-7.479150760724194,7.042591445464014,13.344496881277784
94,-7.488599193187051,7.052488801956521,13.344497265373404
95,-7.497957836302033,7.062286519916776,13.344497642337865
96,-7.5072283772744655,7.071986620690596,13.34449801236576
97,-7.516412456721031,7.081591063776688,13.344498375644816
98,-7.525511670336727,7.091101749360938,13.344498732356163
99,-7.5345275704900505,7.1005205207204884,13.344499082674623
100,-7.5434616677499235,7.109849166505608,13.344499426768996
101,-7.552315432347702,7.119089422906866,13.344499764802261
102,-7.561090295577421,7.128242975714491,13.344500096931867
103,-7.569787651137275,7.137311462276398,13.344500423309928
104,-7.5784088564151455,7.1462964733608745,13.344500744083462
105,-7.586955233720891,7.155199554929463,13.344501059394586
106,-7.5954280714679046,7.164022209825322,13.344501369380723
107,-7.603828625306374,7.172765899381818,13.344501674174772
108,-7.612158119210512,7.181432044955955,13.344501973905313
109,-7.6204177465219205,7.190022029390809,13.34450226869677
110,-7.628608670951142,7.1985371984109365,13.344502558669548
111,-7.636732027539335,7.206978861954462,13.344502843940246
112,-7.644788923581921,7.2153482954452794,13.34450312462175
113,-7.652780439515946,7.223646741008595,13.344503400823397
114,-7.660707629772816,7.231875408632871,13.34450367265113
115,-7.668571523597977,7.24003547728098,13.344503940207598
116,-7.676373125839035,7.248128095953267,13.344504203592297
117,-7.684113417703736,7.256154384704979,13.344504462901675
118,-7.691793357489135,7.264115435620466,13.344504718229262
119,-7.699413881283255,7.272012313746314,13.344504969665778
120,-7.706975903640433,7.279846057985519,13.344505217299218
121,-7.7144803182315105,7.287617681954637,13.344505461214965
122,-7.721927998469972,7.29532817480577,13.344505701495896
123,-7.729319798115057,7.302978502015095,13.34450593822245
124,-7.736656551852865,7.310569606139597,13.344506171472723
125,-7.743939075856357,7.318102407543535,13.344506401322564
126,-7.751168168325194,7.325577805096093,13.344506627845645
127,-7.758344610006228,7.332996676841582,13.344506851113524
128,-7.765469164695489,7.340359880643509,13.344507071195755
129,-7.772542579722415,7.347668254803709,13.344507288159917
130,-7.779565586417087,7.354922618657748,13.344507502071716
131,-7.786538900561156,7.36212377314761,13.344507712995023
