method,gain_final,optimal_gain,gain_diff,effective_gain,gain_effectiveness,bias_final,optimal_bias,bias_effectiveness,effective_bias,label
bias_progression_discounted_vanilla_popular_gamma_0.9370794717658889,4.0,4.0,0.0,True,1.0,-1.0,-1.0,1.0,True,D_V_Pop_$\gamma$=0.94
bias_progression_discounted_vanilla_proper_gamma_0.9057502776046518,3.870589714534082,4.0,0.12941028546591804,True,0.9676474286335205,-1.135182746090349,-1.0,0.864817253909651,True,D_V_Prop_$\gamma$=0.91
bias_progression_discounted_natural_popular_gamma_0.9941207163345817,3.9999628505873344,4.0,3.714941266563798e-05,True,0.9999907126468336,-1.0049034384072495,-1.0,0.9950965615927505,True,D_N_Pop_$\gamma$=0.99
bias_progression_discounted_natural_proper_gamma_0.9057502776046518,3.9979995735954974,4.0,0.0020004264045025977,True,0.9994998933988744,-1.0337145825807532,-1.0,0.9662854174192468,True,D_N_Prop_$\gamma$=0.91
bias_progression_discounting_free_vanilla_sampling_gamma_None,4.0,4.0,0.0,True,1.0,-1.0000000000140763,-1.0,0.9999999999859237,True,DF_V_$\gamma$=None
bias_progression_discounting_free_natural_sampling_gamma_None,3.983952158029266,4.0,0.016047841970733945,True,0.9959880395073165,-0.9893515472862712,-1.0,1.010648452713729,True,DF_N_$\gamma$=None
