theta0,theta1,value
-10.0,-10.0,158.66227896096714
-9.5,-10.0,158.66227896096694
-9.0,-10.0,158.66227896096618
-8.5,-10.0,158.6622789609644
-8.0,-10.0,158.6622789609596
-7.5,-10.0,158.662278960946
-7.0,-10.0,158.66227896090817
-6.5,-10.0,158.6622789608016
-6.0,-10.0,158.66227896049514
-5.5,-10.0,158.662278959587
-5.0,-10.0,158.66227895678017
-4.5,-10.0,158.66227894763475
-4.0,-10.0,158.66227891597995
-3.5,-10.0,158.66227879946015
-3.0,-10.0,158.66227834601034
-2.5,-10.0,158.66227649961183
-2.0,-10.0,158.66226872180385
-1.5,-10.0,158.66223515688228
-1.0,-10.0,158.66208781032927
-0.5,-10.0,158.66143262917663
0.0,-10.0,158.6584869069856
0.5,-10.0,158.6450883672103
1.0,-10.0,158.58328856903046
1.5,-10.0,158.2936297190469
2.0,-10.0,156.93164561002405
2.5,-10.0,151.26493339951747
3.0,-10.0,137.6296249894198
3.5,-10.0,124.10947009253327
4.0,-10.0,118.54552247727732
4.5,-10.0,117.89869697758529
5.0,-10.0,119.23850533827483
5.5,-10.0,121.1577980848704
6.0,-10.0,122.62688697515988
6.5,-10.0,123.39825534895462
7.0,-10.0,123.72823622985311
7.5,-10.0,123.85702111271706
8.0,-10.0,123.90547077033756
8.5,-10.0,123.92344449330096
9.0,-10.0,123.93007748072573
9.5,-10.0,123.93252052252966
10.0,-10.0,123.93341967733427
-10.0,-9.5,158.66270509776677
-9.5,-9.5,158.66270509776635
-9.0,-9.5,158.66270509776524
-8.5,-9.5,158.6627050977621
-8.0,-9.5,158.66270509775424
-7.5,-9.5,158.66270509773153
-7.0,-9.5,158.6627050976694
-6.5,-9.5,158.66270509749378
-6.0,-9.5,158.66270509698882
-5.5,-9.5,158.6627050954912
-5.0,-9.5,158.66270509086357
-4.5,-9.5,158.6627050757853
-4.0,-9.5,158.6627050235955
-3.5,-9.5,158.66270483148745
-3.0,-9.5,158.66270408387695
-2.5,-9.5,158.66270103968827
-2.0,-9.5,158.66268821628572
-1.5,-9.5,158.66263287727068
-1.0,-9.5,158.66238994534163
-0.5,-9.5,158.66130975322318
0.0,-9.5,158.65645340501888
0.5,-9.5,158.63436913472003
1.0,-9.5,158.53260006376482
1.5,-9.5,158.05755699677638
2.0,-9.5,155.87111038083333
2.5,-9.5,147.70385259975174
3.0,-9.5,132.50338655818
3.5,-9.5,121.47141714947648
4.0,-9.5,118.12512463064239
4.5,-9.5,118.47647355782219
5.0,-9.5,120.21486081597564
5.5,-9.5,121.987049319937
6.0,-9.5,123.08815473818586
6.5,-9.5,123.60092476186179
7.0,-9.5,123.80843961059841
7.5,-9.5,123.88762687371086
8.0,-9.5,123.91716271236365
8.5,-9.5,123.92808477195952
9.0,-9.5,123.93211065341792
9.5,-9.5,123.93359280640497
