iteration,theta0,theta1,gain,bias
0,0.0,0.0,10.17393509127789,20.21307997564277
1,-2.978757369913061,-0.9433041279741948,13.343964663537877,4.378831563321199
2,-3.1425376398827978,2.3575770387510406,13.334735786894116,14.944368698807025
3,-5.926185434767895,2.667281232645604,13.344524352436114,15.28446801203841
4,-5.929423562268968,3.677033851121812,13.344501124463878,15.95487103030571
5,-5.938243717706351,4.073770663076954,13.344484301129064,16.08711802456512
6,-5.951101805835688,4.34178591176195,13.344469791549288,16.15170808691117
7,-5.9674361293767495,4.545436604257969,13.344457347233815,16.19065216734522
8,-5.986744386982706,4.709604602647052,13.34444689748953,16.21684796083605
9,-6.0085416143235,4.846866740479096,13.344438351085792,16.23572461571944
10,-6.032365627951082,4.964567408860682,13.344431569491832,16.24999624037104
11,-6.057788689585167,5.067409252376613,13.344426376463035,16.261179052039196
12,-6.084426667972614,5.158601613851294,13.344422575607393,16.270189096196958
13,-6.1119438262377495,5.240438494133534,13.344419966792373,16.277613111838527
14,-6.14005356928454,5.314617642583201,13.344418358408417,16.283844353429515
15,-6.168516197531109,5.382429790035449,13.344417575104368,16.289156154268845
16,-6.197134792971962,5.444877453239132,13.344417461701248,16.2937442651737
17,-6.225750179915079,5.502753041021661,13.344417884314485,16.29775244796494
18,-6.25423564361784,5.556692165899428,13.3444187296624,16.30128858482881
19,-6.282491846760555,5.607211162924334,13.344419903340018,16.304435167104124
20,-6.310442191455315,5.654734165240673,13.344421327612746,16.307256323721802
21,-6.338028738541779,5.699613052941854,13.3444229390908,16.30980264897218
22,-6.365208708218399,5.742142408532166,13.344424686498018,16.31211459105198
23,-6.39195153466369,5.78257089545643,13.344426528646748,16.31422487620909
24,-6.418236420925729,5.821110026136885,13.344428432664737,16.31616027269414
25,-6.4440503300011285,5.857940994391067,13.344430372480204,16.31794289411301
26,-6.469386347194529,5.893220052915029,13.34443232754986,16.319591175922596
27,-6.494242353178791,5.927082784043647,13.344434281804029,16.321120616389152
28,-6.518619953895541,5.959647519738938,13.3444362227797,16.32254434542495
29,-6.542523620890028,5.9910181013433,13.344438140912754,16.323873566023252
30,-6.565960002941326,6.021286122532653,13.34444002896278,16.32511790027229
31,-6.588937376467702,6.050532764528199,13.344441881547354,16.326285663113964
32,-6.611465207972104,6.078830307237955,13.34444369476584,16.32738408082978
33,-6.633553806715171,6.106243381051809,13.344445465896044,16.328419466840053
34,-6.655214049915579,6.132830009738442,13.344447193149955,16.32939736424202
35,-6.676457166169429,6.1586424840446,13.344448875477184,16.330322662213277
36,-6.697294565552746,6.183728097288584,13.344450512407034,16.331199691717288
37,-6.717737707122695,6.208129767829619,13.344452103921524,16.332032304694593
38,-6.737797996353408,6.231886568315405,13.344453650353527,16.332823939985204
39,-6.757486706509417,6.255034177717327,13.344455152305024,16.33357767851767
40,-6.776814919139789,6.277605269101171,13.344456610581611,16.33429628976237
41,-6.795793479824059,6.299629843659222,13.344458026140092,16.334982271030732
42,-6.814432966062218,6.321135519603149,13.344459400046588,16.335637880883496
43,-6.83274366481195,6.342147782976868,13.344460733443205,16.336265167661146
44,-6.850735557666891,6.36269020621074,13.34446202752148,16.336865993955165
45,-6.868418312063612,6.382784639238929,13.344463283501428,16.33744205768405
46,-6.885801277221721,6.402451377190956,13.344464502614969,16.337994910317107
47,-6.902893483776047,6.421709308007641,13.344465686093043,16.338525972690668
48,-6.919703646264873,6.440576042790895,13.344466835155528,16.339036548783973
49,-6.936240167803204,6.459068031252296,13.344467951003558,16.339527837758745
50,-6.9525111464031175,6.477200664258694,13.34446903481371,16.340000944515182
51,-6.968524382510555,6.4949883651691644,13.344470087733654,16.34045688897625
52,-6.984287387414528,6.512444671405032,13.344471110879102,16.340896614277213
53,-6.999807392254628,6.529582307483809,13.344472105331636,16.341320994010218
54,-7.015091357409216,6.546413250571217,13.344473072137356,16.341730838650292
55,-7.030145982092315,6.562948789457075,13.344474012306144,16.34212690126968
56,-7.044977714024036,6.5791995777356025,13.344474926811388,16.34250988263244
57,-7.059592759069167,6.595175681864832,13.344475816590116,16.342880435747
58,-7.073997090762549,6.610886624689884,13.344476682543382,16.343239169943615
59,-7.088196459659201,6.626341424938426,13.344477525536917,16.343586654534604
60,-7.102196402462764,6.6415486331312446,13.344478346401932,16.343923422106535
61,-7.116002250898308,6.656516364294968,13.344479145936054,16.344249971487848
62,-7.129619140305618,6.671252327815973,13.344479924904345,16.344566770428735
63,-7.143052017937026,6.685763854733123,13.344480684040386,16.344874258025783
64,-7.156305650950284,6.70005792273135,13.344481424047382,16.345172846920057
65,-7.169384634091936,6.714141179067146,13.344482145599327,16.34546292529246
66,-7.182293397070678,6.728019961630353,13.34448284934212,16.345744858679033
67,-7.195036211623194,6.741700318323186,13.344483535894724,16.34601899162425
68,-7.207617198277391,6.755188024917271,13.344484205850256,16.346285649189888
69,-7.220040332819708,6.768488601531641,13.344484859777111,16.34654513833356
