theta0,theta1,value
-6.0,-8.0,-25.320463370446436
-5.5,-8.0,-25.320463370446436
-5.0,-8.0,-25.320463370446436
-4.5,-8.0,-25.320463370446436
-4.0,-8.0,-25.320463370446436
-3.5,-8.0,-25.320463370446436
-3.0,-8.0,-25.320463370446436
-2.5,-8.0,-25.320463370446436
-2.0,-8.0,-25.320463370446436
-1.5,-8.0,-25.320463370446436
-1.0,-8.0,-25.320463370446436
-0.5,-8.0,-25.320463370446436
0.0,-8.0,-25.320463370446436
0.5,-8.0,-25.320463370446436
1.0,-8.0,-25.320463370446436
1.5,-8.0,-25.320463370446436
2.0,-8.0,-25.320463370446436
2.5,-8.0,-25.320463370446436
3.0,-8.0,-25.320463370446436
3.5,-8.0,-25.320463370446436
4.0,-8.0,-25.320463370446436
4.5,-8.0,-25.320463370446436
5.0,-8.0,-25.320463370446436
5.5,-8.0,-25.320463370446436
6.0,-8.0,-25.320463370446436
6.5,-8.0,-25.320463370446436
7.0,-8.0,-25.320463370446436
7.5,-8.0,-25.320463370446436
8.0,-8.0,-25.320463370446436
8.5,-8.0,-25.320463370446436
9.0,-8.0,-25.320463370446436
9.5,-8.0,-25.320463370446436
10.0,-8.0,-25.320463370446436
-10.0,-7.5,-25.320387548499973
-9.5,-7.5,-25.320387548499973
-9.0,-7.5,-25.320387548499973
-8.5,-7.5,-25.320387548499973
-8.0,-7.5,-25.320387548499973
-7.5,-7.5,-25.320387548499973
-7.0,-7.5,-25.320387548499973
-6.5,-7.5,-25.320387548499973
-6.0,-7.5,-25.320387548499973
-5.5,-7.5,-25.320387548499973
-5.0,-7.5,-25.320387548499973
-4.5,-7.5,-25.320387548499973
-4.0,-7.5,-25.320387548499973
-3.5,-7.5,-25.320387548499973
-3.0,-7.5,-25.320387548499973
-2.5,-7.5,-25.320387548499973
-2.0,-7.5,-25.320387548499973
-1.5,-7.5,-25.320387548499973
-1.0,-7.5,-25.320387548499973
-0.5,-7.5,-25.320387548499973
0.0,-7.5,-25.320387548499973
0.5,-7.5,-25.320387548499973
1.0,-7.5,-25.320387548499973
1.5,-7.5,-25.320387548499973
2.0,-7.5,-25.320387548499973
2.5,-7.5,-25.320387548499973
3.0,-7.5,-25.320387548499973
3.5,-7.5,-25.320387548499973
4.0,-7.5,-25.320387548499973
4.5,-7.5,-25.320387548499973
5.0,-7.5,-25.320387548499973
5.5,-7.5,-25.320387548499973
6.0,-7.5,-25.320387548499973
6.5,-7.5,-25.320387548499973
7.0,-7.5,-25.320387548499973
7.5,-7.5,-25.320387548499973
8.0,-7.5,-25.320387548499973
8.5,-7.5,-25.320387548499973
9.0,-7.5,-25.320387548499973
9.5,-7.5,-25.320387548499973
10.0,-7.5,-25.320387548499973
-10.0,-7.0,-25.32026257624756
-9.5,-7.0,-25.32026257624756
-9.0,-7.0,-25.32026257624756
-8.5,-7.0,-25.32026257624756
-8.0,-7.0,-25.32026257624756
-7.5,-7.0,-25.32026257624756
-7.0,-7.0,-25.32026257624756
-6.5,-7.0,-25.32026257624756
-6.0,-7.0,-25.32026257624756
-5.5,-7.0,-25.32026257624756
-5.0,-7.0,-25.32026257624756
-4.5,-7.0,-25.32026257624756
-4.0,-7.0,-25.32026257624756
