theta0,theta1,value
-10.0,-10.0,936.4565781668625
-9.5,-10.0,936.456578166861
-9.0,-10.0,936.456578166855
-8.5,-10.0,936.456578166846
-8.0,-10.0,936.4565781668199
-7.5,-10.0,936.4565781667396
-7.0,-10.0,936.4565781665272
-6.5,-10.0,936.4565781659182
-6.0,-10.0,936.4565781641309
-5.5,-10.0,936.4565781587117
-5.0,-10.0,936.4565781414061
-4.5,-10.0,936.4565780828093
-4.0,-10.0,936.4565778717275
-3.5,-10.0,936.4565770657455
-3.0,-10.0,936.4565738330756
-2.5,-10.0,936.4565603689265
-2.0,-10.0,936.4565027512508
-1.5,-10.0,936.4562515026963
-1.0,-10.0,936.4551412733455
-0.5,-10.0,936.4501850828923
0.0,-10.0,936.4278539953737
0.5,-10.0,936.3261964436264
1.0,-10.0,935.8574062347743
1.5,-10.0,933.6622069073825
2.0,-10.0,923.3341735351981
2.5,-10.0,879.9154087251151
3.0,-10.0,775.5249462175395
3.5,-10.0,676.5219362244316
4.0,-10.0,636.7286197853147
4.5,-10.0,630.4577648560086
5.0,-10.0,636.6123152809207
5.5,-10.0,646.3460286134659
6.0,-10.0,653.9507042870255
6.5,-10.0,657.9790416966791
7.0,-10.0,659.7091197301988
7.5,-10.0,660.3854492468383
8.0,-10.0,660.6400604898013
8.5,-10.0,660.7345421575802
9.0,-10.0,660.7694137947651
9.5,-10.0,660.7822583465902
10.0,-10.0,660.7869858822477
-10.0,-9.5,936.457058193878
-9.5,-9.5,936.4570581938748
-9.0,-9.5,936.4570581938698
-8.5,-9.5,936.4570581938506
-8.0,-9.5,936.4570581938053
-7.5,-9.5,936.457058193676
-7.0,-9.5,936.4570581933294
-6.5,-9.5,936.4570581923225
-6.0,-9.5,936.4570581893909
-5.5,-9.5,936.4570581804419
-5.0,-9.5,936.4570581519117
-4.5,-9.5,936.4570580552885
-4.0,-9.5,936.4570577072923
-3.5,-9.5,936.457056378453
-3.0,-9.5,936.4570510486802
-2.5,-9.5,936.4570288500643
-2.0,-9.5,936.4569338546314
-1.5,-9.5,936.4565196162728
-1.0,-9.5,936.4546891644736
-0.5,-9.5,936.4465179121756
0.0,-9.5,936.409702565548
0.5,-9.5,936.2421441756671
1.0,-9.5,935.4701496410805
1.5,-9.5,931.8692449270233
2.0,-9.5,915.2614534759936
2.5,-9.5,852.524966776852
3.0,-9.5,737.4209399343999
3.5,-9.5,657.6259024626582
4.0,-9.5,633.08377829585
4.5,-9.5,633.041717158674
5.0,-9.5,641.5443812210002
5.5,-9.5,650.6292404656764
6.0,-9.5,656.3556944140871
6.5,-9.5,659.0392451277331
7.0,-9.5,660.1281858692818
7.5,-9.5,660.5441866549556
8.0,-9.5,660.6994220993713
8.5,-9.5,660.7568383466019
9.0,-9.5,660.778004032602
9.5,-9.5,660.7857966736907
10.0,-9.5,660.7886643426627
-10.0,-9.0,936.457849562895
-9.5,-9.0,936.4578495628946
-9.0,-9.0,936.4578495628806
-8.5,-9.0,936.4578495628562
-8.0,-9.0,936.4578495627758
-7.5,-9.0,936.4578495625743
-7.0,-9.0,936.4578495619871
-6.5,-9.0,936.4578495603386
-6.0,-9.0,936.457849555494
-5.5,-9.0,936.4578495407544
-5.0,-9.0,936.4578494937074
-4.5,-9.0,936.457849334417
-4.0,-9.0,936.457848760651
-3.5,-9.0,936.4578465697641
-3.0,-9.0,936.4578377824647
