theta0,theta1,value
-10.0,-10.0,327.8696341410041
-9.5,-10.0,327.8696341410038
-9.0,-10.0,327.86963414100194
-8.5,-10.0,327.8696341409982
-8.0,-10.0,327.86963414098864
-7.5,-10.0,327.86963414095965
-7.0,-10.0,327.86963414087813
-6.5,-10.0,327.86963414064934
-6.0,-10.0,327.86963413998586
-5.5,-10.0,327.86963413800055
-5.0,-10.0,327.8696341317816
-4.5,-10.0,327.86963411119234
-4.0,-10.0,327.86963403870294
-3.5,-10.0,327.8696337675798
-3.0,-10.0,327.86963269824525
-2.5,-10.0,327.8696282994659
-2.0,-10.0,327.8696096366401
-1.5,-10.0,327.86952871328464
-1.0,-10.0,327.8691723961385
-0.5,-10.0,327.8675851674786
0.0,-10.0,327.8604421071485
0.5,-10.0,327.8279414381677
1.0,-10.0,327.6780625988264
1.5,-10.0,326.97594270429255
2.0,-10.0,323.6729276457387
2.5,-10.0,309.84184673221205
3.0,-10.0,276.59052053373847
3.5,-10.0,244.52135978972956
4.0,-10.0,231.50655266257272
4.5,-10.0,229.6349997207297
5.0,-10.0,232.02607054068466
5.5,-10.0,235.65212978455105
6.0,-10.0,238.4620897643041
6.5,-10.0,239.94549662245282
7.0,-10.0,240.581618137604
7.5,-10.0,240.8301352201318
8.0,-10.0,240.92366753224175
8.5,-10.0,240.95837186272865
9.0,-10.0,240.97118003732868
9.5,-10.0,240.97589766751108
10.0,-10.0,240.97763400753078
-10.0,-9.5,327.8700943204096
-9.5,-9.5,327.8700943204089
-9.0,-9.5,327.87009432040657
-8.5,-9.5,327.87009432040037
-8.0,-9.5,327.8700943203829
-7.5,-9.5,327.87009432033454
-7.0,-9.5,327.8700943202023
-6.5,-9.5,327.87009431982466
-6.0,-9.5,327.87009431873184
-5.5,-9.5,327.8700943154577
-5.0,-9.5,327.870094305204
-4.5,-9.5,327.87009427125656
-4.0,-9.5,327.87009415174407
-3.5,-9.5,327.870093704738
-3.0,-9.5,327.87009194170577
-2.5,-9.5,327.87008468935437
-2.0,-9.5,327.8700539195992
-1.5,-9.5,327.8699204998081
-1.0,-9.5,327.8693330348721
-0.5,-9.5,327.86671617933825
0.0,-9.5,327.85494003874607
0.5,-9.5,327.801370423939
1.0,-9.5,327.55455432968586
1.5,-9.5,326.40292221199536
2.0,-9.5,321.09505716686346
2.5,-9.5,301.13158428106385
3.0,-9.5,264.31735807158884
3.5,-9.5,238.34552156259963
4.0,-9.5,230.383783580175
4.5,-9.5,230.6506999717713
5.0,-9.5,233.86623348211603
5.5,-9.5,237.2361443686754
6.0,-9.5,239.34830279885256
6.5,-9.5,240.3357007107908
7.0,-9.5,240.73595391338756
7.5,-9.5,240.8887938459378
8.0,-9.5,240.94581739098294
8.5,-9.5,240.96690673397532
9.0,-9.5,240.97468072690808
9.5,-9.5,240.97754284965418
10.0,-9.5,240.97859609188828
-10.0,-9.0,327.87085296880423
-9.5,-9.0,327.87085296880315
-9.0,-9.0,327.8708529687986
-8.5,-9.0,327.8708529687894
-8.0,-9.0,327.87085296876035
-7.5,-9.0,327.8708529686818
-7.0,-9.0,327.87085296846107
-6.5,-9.0,327.8708529678398
-6.0,-9.0,327.87085296603806
-5.5,-9.0,327.87085296064026
-5.0,-9.0,327.8708529437346
-4.5,-9.0,327.87085288776535
-4.0,-9.0,327.8708526907212
