iteration,theta0,theta1,gain_plus_bias
0,0.0,0.0,30.38701506692066
1,-1.1035413315242453,-2.3065067388323577,14.635416952905784
2,-1.1035413315243972,-2.306506738832121,14.635416952906104
3,-4.274494271845548,5.243402404725286,29.60795265439124
4,1.735173855496428,-0.7583198379346632,30.77639739145442
5,1.735173855496428,-0.7583198379346632,30.77639739145442
6,1.735173855496428,-0.7583198379346632,30.77639739145442
7,1.735173855496428,-0.7583198379346632,30.77639739145442
8,1.735173855496428,-0.7583198379346632,30.77639739145442
9,1.735173855496428,-0.7583198379346632,30.77639739145442
10,1.735173855496428,-0.7583198379346632,30.77639739145442
11,1.735173855496428,-0.7583198379346632,30.77639739145442
12,1.735173855496428,-0.7583198379346632,30.77639739145442
13,1.735173855496428,-0.7583198379346632,30.77639739145442
14,1.735173855496428,-0.7583198379346632,30.77639739145442
15,1.735173855496428,-0.7583198379346632,30.77639739145442
16,1.735173855496428,-0.7583198379346632,30.77639739145442
17,1.735173855496428,-0.7583198379346632,30.77639739145442
18,1.735173855496428,-0.7583198379346632,30.77639739145442
19,1.735173855496428,-0.7583198379346632,30.77639739145442
20,1.735173855496428,-0.7583198379346632,30.77639739145442
21,1.735173855496428,-0.7583198379346632,30.77639739145442
22,1.735173855496428,-0.7583198379346632,30.77639739145442
23,1.735173855496428,-0.7583198379346632,30.77639739145442
24,1.735173855496428,-0.7583198379346632,30.77639739145442
25,1.735173855496428,-0.7583198379346632,30.77639739145442
26,1.735173855496428,-0.7583198379346632,30.77639739145442
27,1.735173855496428,-0.7583198379346632,30.77639739145442
28,1.735173855496428,-0.7583198379346632,30.77639739145442
29,1.735173855496428,-0.7583198379346632,30.77639739145442
30,1.735173855496428,-0.7583198379346632,30.77639739145442
31,1.735173855496428,-0.7583198379346632,30.77639739145442
32,1.735173855496428,-0.7583198379346632,30.77639739145442
33,1.735173855496428,-0.7583198379346632,30.77639739145442
34,1.735173855496428,-0.7583198379346632,30.77639739145442
35,1.735173855496428,-0.7583198379346632,30.77639739145442
36,1.735173855496428,-0.7583198379346632,30.77639739145442
37,1.735173855496428,-0.7583198379346632,30.77639739145442
38,1.735173855496428,-0.7583198379346632,30.77639739145442
