method_name,samples_to_converge
discounting_free_natural_sampling,1120
discounting_free_natural_sampling,1120
discounting_free_natural_sampling,1120
discounting_free_natural_sampling,1152
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,832
discounting_free_natural_sampling,1344
discounting_free_natural_sampling,1344
discounting_free_natural_sampling,1088
discounting_free_natural_sampling,1120
discounting_free_natural_sampling,1104
discounting_free_natural_sampling,1344
discounted_vanilla_proper,149151
discounted_vanilla_proper,147692
discounted_vanilla_proper,148745
discounted_vanilla_proper,146201
discounted_vanilla_proper,147661
discounted_vanilla_proper,149433
discounted_vanilla_proper,150035
discounted_vanilla_proper,148747
discounted_vanilla_proper,148066
discounted_vanilla_proper,148922
discounted_vanilla_proper,152797
discounted_vanilla_proper,147889
discounted_vanilla_proper,148590
discounted_vanilla_proper,149032
discounted_vanilla_proper,147089
discounted_vanilla_proper,151262
discounted_vanilla_proper,149460
discounted_vanilla_proper,147558
discounted_vanilla_proper,147459
discounted_vanilla_proper,149744
discounted_vanilla_proper,148698
discounted_vanilla_proper,147963
discounted_vanilla_proper,150701
discounted_vanilla_proper,147808
discounted_vanilla_proper,148869
discounted_vanilla_proper,150121
discounted_vanilla_proper,149409
discounted_vanilla_proper,151824
discounted_vanilla_proper,148809
discounted_vanilla_proper,148647
discounted_vanilla_proper,150435
discounted_vanilla_proper,151118
discounted_vanilla_proper,148975
discounted_vanilla_proper,148212
discounted_vanilla_proper,147774
discounted_vanilla_proper,147392
discounted_vanilla_proper,151666
discounted_vanilla_proper,149441
discounted_vanilla_proper,147833
discounted_vanilla_proper,147692
discounted_vanilla_proper,153066
discounted_vanilla_proper,149097
discounted_vanilla_proper,148863
discounted_vanilla_proper,149083
discounted_vanilla_proper,148745
discounted_vanilla_proper,147300
discounted_vanilla_proper,147574
discounted_vanilla_proper,149953
discounted_vanilla_proper,148493
discounted_vanilla_proper,148594
discounted_vanilla_proper,150080
discounted_vanilla_proper,149315
discounted_vanilla_proper,148102
discounted_vanilla_proper,149007
discounted_vanilla_proper,149560
discounted_vanilla_proper,148373
discounted_vanilla_proper,147821
discounted_vanilla_proper,148805
discounted_vanilla_proper,147794
discounted_vanilla_proper,148992
discounted_vanilla_proper,149405
discounted_vanilla_proper,148226
discounted_vanilla_proper,148923
discounted_vanilla_proper,153309
discounted_vanilla_proper,148747
discounted_vanilla_proper,149213
discounted_vanilla_proper,150043
discounted_vanilla_proper,148088
discounted_vanilla_proper,149596
discounted_vanilla_proper,149482
discounted_vanilla_proper,147738
discounted_vanilla_proper,149335
discounted_vanilla_proper,148902
discounted_vanilla_proper,148909
discounted_vanilla_proper,147386
discounted_vanilla_proper,147500
discounted_vanilla_proper,151215
discounted_vanilla_proper,146868
discounted_vanilla_proper,146903
discounted_vanilla_proper,148407
discounted_vanilla_proper,149074
discounted_vanilla_proper,147693
discounted_vanilla_proper,149316
discounted_vanilla_proper,148983
discounted_vanilla_proper,147952
discounted_vanilla_proper,146762
discounted_vanilla_proper,151805
discounted_vanilla_proper,148279
discounted_vanilla_proper,147848
discounted_vanilla_proper,149158
discounted_vanilla_proper,148948
discounted_vanilla_proper,149144
discounted_vanilla_proper,149402
discounted_vanilla_proper,148240
discounted_vanilla_proper,147191
discounted_vanilla_proper,148011
discounted_vanilla_proper,147825
discounted_vanilla_proper,148286
discounted_vanilla_proper,148890
discounted_vanilla_proper,149134
discounted_vanilla_popular,259200
discounted_vanilla_popular,259200
