iteration,theta0,theta1,gain
0,0.0,0.0,1.3125
1,1.2322173221761306,0.26079254254335726,3.6360539453870033
2,1.321320357488711,0.020910624538172884,3.6373710781997945
3,1.321320357488715,0.020910624537606032,3.6373710781997715
4,1.3213203574887153,0.020910624537427838,3.6373710781997652
5,1.6173926594417294,0.235975794535768,3.6628417361827923
6,1.7506762571639767,0.30660819434471126,3.667592280105941
7,1.756443917617554,0.19996709428744155,3.6667120417241015
8,2.155708618214528,0.5041797257933,3.67397716476147
