theta0,theta1,bias
-2.0,-8.0,-1.00047
-1.5,-8.0,-1.00033
-1.0,-8.0,-1.00012
-0.5,-8.0,-0.99976
0.0,-8.0,-0.99916
0.5,-8.0,-0.99818
1.0,-8.0,-0.99657
1.5,-8.0,-0.99392
2.0,-8.0,-0.98957
2.5,-8.0,-0.98242
3.0,-8.0,-0.97074
3.5,-8.0,-0.95173
4.0,-8.0,-0.92108
4.5,-8.0,-0.87232
5.0,-8.0,-0.79646
5.5,-8.0,-0.68242
6.0,-8.0,-0.51967
6.5,-8.0,-0.30416
7.0,-8.0,-0.04613
7.5,-8.0,0.22695
8.0,-8.0,0.47957
8.5,-8.0,0.68512
9.0,-8.0,0.83555
9.5,-8.0,0.9376
10.0,-8.0,1.00355
-10.0,-7.5,-1.00111
-9.5,-7.5,-1.00111
-9.0,-7.5,-1.00111
-8.5,-7.5,-1.00111
-8.0,-7.5,-1.0011
-7.5,-7.5,-1.0011
-7.0,-7.5,-1.0011
-6.5,-7.5,-1.0011
-6.0,-7.5,-1.0011
-5.5,-7.5,-1.0011
-5.0,-7.5,-1.00109
-4.5,-7.5,-1.00108
-4.0,-7.5,-1.00106
-3.5,-7.5,-1.00103
-3.0,-7.5,-1.00098
-2.5,-7.5,-1.0009
-2.0,-7.5,-1.00077
-1.5,-7.5,-1.00055
-1.0,-7.5,-1.00019
-0.5,-7.5,-0.9996
0.0,-7.5,-0.99862
0.5,-7.5,-0.99701
1.0,-7.5,-0.99436
1.5,-7.5,-0.99
2.0,-7.5,-0.98286
2.5,-7.5,-0.97117
3.0,-7.5,-0.95216
3.5,-7.5,-0.9215
4.0,-7.5,-0.87274
4.5,-7.5,-0.79687
5.0,-7.5,-0.68282
5.5,-7.5,-0.52006
6.0,-7.5,-0.30453
6.5,-7.5,-0.04647
7.0,-7.5,0.22664
7.5,-7.5,0.47929
8.0,-7.5,0.68486
8.5,-7.5,0.83532
9.0,-7.5,0.93738
9.5,-7.5,1.00334
10.0,-7.5,1.04479
-10.0,-7.0,-1.00182
-9.5,-7.0,-1.00182
-9.0,-7.0,-1.00182
-8.5,-7.0,-1.00182
-8.0,-7.0,-1.00182
-7.5,-7.0,-1.00182
-7.0,-7.0,-1.00182
-6.5,-7.0,-1.00182
-6.0,-7.0,-1.00181
-5.5,-7.0,-1.00181
-5.0,-7.0,-1.00179
-4.5,-7.0,-1.00178
-4.0,-7.0,-1.00175
-3.5,-7.0,-1.0017
-3.0,-7.0,-1.00162
-2.5,-7.0,-1.00149
-2.0,-7.0,-1.00127
-1.5,-7.0,-1.00091
-1.0,-7.0,-1.00031
-0.5,-7.0,-0.99933
0.0,-7.0,-0.99772
0.5,-7.0,-0.99507
1.0,-7.0,-0.99072
1.5,-7.0,-0.98357
2.0,-7.0,-0.97188
2.5,-7.0,-0.95287
3.0,-7.0,-0.92221
3.5,-7.0,-0.87344
4.0,-7.0,-0.79756
4.5,-7.0,-0.68349
5.0,-7.0,-0.52069
5.5,-7.0,-0.30513
6.0,-7.0,-0.04703
6.5,-7.0,0.22614
7.0,-7.0,0.47883
7.5,-7.0,0.68445
