iteration,theta0,theta1,gain_plus_bias
0,0.0,0.0,9.4375
1,1.280859374999999,0.16874999999999962,-2.678922093101236
2,1.3967124730249958,0.2066130947083497,-2.6138298942950744
3,1.4722848333954244,0.2326591485822966,-2.5710686989223857
4,1.5300569605858159,0.2532023066559103,-2.539616562217162
5,1.577340999461453,0.2703915920669641,-2.5150996010026803
6,1.6175952482728146,0.28527562648789817,-2.4952719641139933
7,1.652765411925612,0.2984588268751545,-2.4788180389638477
8,1.6840669736355007,0.3103263053566632,-2.464899402871483
9,1.7123151356598036,0.3211406894293974,-2.4529489750583817
10,1.738085653387483,0.33109015125255775,-2.442565689599399
11,1.7618015424868856,0.34031469762032107,-2.4334558223578475
12,1.7837834496416933,0.3489216494605146,-2.425398131126814
13,1.804280659147183,0.3569952860341274,-2.418222063957533
14,1.8234910850859636,0.36460313139457096,-2.411793562721786
15,1.8415746611420682,0.37180020681881787,-2.406005492400681
16,1.858662598057687,0.37863199780467705,-2.4007709994611397
17,1.874863959185014,0.3851365793510615,-2.39601878718917
18,1.8902704408530862,0.39134617314081893,-2.391689681649128
19,1.9049599186111743,0.3972883111569535,-2.387734088251335
20,1.9189991250837635,0.40298672036337413,-2.3841100763271594
21,1.9324457041362513,0.40846200569016194,-2.3807819151014984
22,1.9453498088763073,0.41373218455669564,-2.3777189397088327
23,1.9577553605497489,0.41881311036451235,-2.3748946622540092
24,1.9697010516373135,0.4237188117579604,-2.372286067347035
25,1.9812211534241382,0.4284617671508752,-2.369873048271532
26,1.9923461723048417,0.4330531289157259,-2.3676379516018256
27,2.003103387775265,0.43750290800757763,-2.365565206333317
28,2.013517296947851,0.44182012718236924,-2.363641019513037
29,2.023609984526702,0.4460129490595404,-2.3618531246655654
30,2.0334014328316177,0.4500887838659968,-2.360190572481122
31,2.0429097832216074,0.4540543806407592,-2.358643555594857
32,2.052151557828379,0.45791590487944983,-2.3572032610631086
33,3.4678990964323515,0.14754966405847025,-1.650441052771935
34,3.6961541791337527,-0.893269809126053,-0.6344702572396228
35,4.160217518586652,-1.5044329397478866,-0.150903468873556
36,4.6503637434006455,-1.7889909070303864,0.12201366619471088
37,5.038175236453709,-2.029637617953578,0.3064691474376846
38,5.3691106842644984,-2.2205487520274723,0.43860626993847207
39,5.65591415057984,-2.380748364505503,0.5378668354082263
40,5.90864466156351,-2.5189623612069236,0.6150775402170559
41,6.1343595392657635,-2.640586551902721,0.6767926260978645
42,6.33816444471394,-2.749217266527616,0.727212406555263
43,6.523861398830103,-2.847381095927267,0.7691516311478832
44,6.6943530220533525,-2.936925504650552,0.8045660608392562
45,6.851902998423891,-3.0192445720707397,0.8348560312419324
46,6.998309350563415,-3.095417378221009,0.8610499524680746
47,7.13502308089014,-3.1662969376722523,0.8839196973621206
48,7.26323150189226,-3.232569603502313,0.9040556290913409
49,7.383918096441309,-3.294796044185952,0.9219168111949867
50,7.497906383475373,-3.3534402896151283,0.9378654632105485
51,7.6058926374992595,-3.4088908063149472,0.9521911332185482
52,7.708470684023881,-3.4614761019632043,0.9651279919790543
53,7.806150959694657,-3.51147648607842,0.9768674247296887
54,7.899375353584731,-3.55913307380045,0.9875673449635358
55,7.988528899329708,-3.6046547759924867,0.9973591825643662
56,8.07394908499244,-3.6482237944434854,1.0063531954879723
57,8.155933338690868,-3.6899999909967782,1.0146425553069842
58,8.2347451016047,-3.7301243971869833,1.0223065240005793
59,8.310618795789308,-3.768722059965951,1.0294129489624173
60,8.383763919066936,-3.80590436896741,1.0360202407369927
61,8.454368444363961,-3.8417709748255473,1.0421789542036302
62,8.522601660275456,-3.8764113819496364,1.0479330628139962
63,8.588616559316916,-3.9099062799361617,1.05332099310418
64,8.65255185743055,-3.9423286634893224,1.0583764704119423
65,8.714533710873216,-3.973744779948641,1.0631292147440345
66,8.77467718320373,-4.004214935333774,1.0676055168325984
67,8.833087504694522,-4.0337941835328355,1.0718287177382795
68,8.88986115837297,-4.062532918397252,1.0758196103011177
69,8.94508682050825,-4.090477384711394,1.0795967768817496
70,8.998846178297848,-4.117670121021196,1.0831768748673656
71,9.05121464346845,-4.144150344943932,1.0865748791169905
72,9.10226197726791,-4.169954289697166,1.0898042887266426
73,9.152052839706995,-4.195115499074615,1.0928773040852788
74,9.200647273789567,-4.219665086876507,1.095804979078463
75,9.248101133735165,-4.243631965812928,1.098597352411149
76,9.294466464779493,-4.267043050090568,1.1012635613123782
77,9.339791840967399,-4.289923435231021,1.1038119403158704
78,9.384122666383654,-4.312296558123203,1.1062501073495885
79,9.427501444463026,-4.334184339860038,1.1085850389948244
80,9.469968019348132,-4.355607313534049,1.1108231364692362
81,9.511559792700412,-4.376584738852663,1.1129702836397475
82,9.552311918895663,-4.397134705170924,1.1150318981647058
83,9.592257481136246,-4.417274224317665,1.1170129766952712
84,9.631427650672737,-4.437019314404396,1.1189181349249058
85,9.669851831039109,-4.456385075647658,1.1207516431585383
86,9.707557788960974,-4.475385759100551,1.1225174579746913
87,9.744571773385701,-4.494034829074201,1.1242192504718886
88,9.78091862390299,-4.512345019931473,1.1258604315209424
89,9.816621869668968,-4.530328387850812,1.1274441743869037
90,9.851703819814267,-4.54799635808501,1.1289734350341294
91,9.886185646198841,-4.565359768177346,1.130450970386835
92,9.920087459278173,-4.582428907542605,1.1318793547806942
93,9.953428377755698,-4.599213553773953,1.1332609948111498
94,9.986226592622419,-4.61572300599496,1.1345981427576715
95,10.018499426117351,-4.631966115540581,1.1358929087404825
96,10.05026338608299,-4.647951314219882,1.1371472717472364
97,10.081534216141458,-4.663686640385255,1.1383630896501002
98,10.112326942070187,-4.679179763009267,1.1395421083194743
99,10.142655914717082,-4.694438003949084,1.1406859699277923
100,10.172534849759824,-4.709468358559663,1.14179622052617
101,10.20197686458401,-4.724277514800359,1.1428743169669353
102,10.230994512526422,-4.738871870965171,1.143921633237135
