theta0,theta1,gain
4.0,-8.0,3.48419
4.5,-8.0,3.59325
5.0,-8.0,3.64387
5.5,-8.0,3.66438
6.0,-8.0,3.6722
6.5,-8.0,3.6751
7.0,-8.0,3.67618
7.5,-8.0,3.67657
8.0,-8.0,3.67672
8.5,-8.0,3.67677
9.0,-8.0,3.67679
9.5,-8.0,3.6768
10.0,-8.0,3.6768
-10.0,-7.5,1.6032
-9.5,-7.5,1.6032
-9.0,-7.5,1.6032
-8.5,-7.5,1.6032
-8.0,-7.5,1.6032
-7.5,-7.5,1.6032
-7.0,-7.5,1.6032
-6.5,-7.5,1.6032
-6.0,-7.5,1.6032
-5.5,-7.5,1.6032
-5.0,-7.5,1.6032
-4.5,-7.5,1.6032
-4.0,-7.5,1.6032
-3.5,-7.5,1.6032
-3.0,-7.5,1.6032
-2.5,-7.5,1.6032
-2.0,-7.5,1.60319
-1.5,-7.5,1.60317
-1.0,-7.5,1.60312
-0.5,-7.5,1.60298
0.0,-7.5,1.60256
0.5,-7.5,1.60133
1.0,-7.5,1.59956
1.5,-7.5,1.67413
2.0,-7.5,2.12957
2.5,-7.5,2.70262
3.0,-7.5,3.13121
3.5,-7.5,3.39195
4.0,-7.5,3.54613
4.5,-7.5,3.62353
5.0,-7.5,3.65642
5.5,-7.5,3.66921
6.0,-7.5,3.674
6.5,-7.5,3.67577
7.0,-7.5,3.67642
7.5,-7.5,3.67666
8.0,-7.5,3.67675
8.5,-7.5,3.67678
9.0,-7.5,3.67679
9.5,-7.5,3.6768
10.0,-7.5,3.6768
-10.0,-7.0,1.6032
-9.5,-7.0,1.6032
-9.0,-7.0,1.6032
-8.5,-7.0,1.6032
-8.0,-7.0,1.6032
-7.5,-7.0,1.6032
-7.0,-7.0,1.6032
-6.5,-7.0,1.6032
-6.0,-7.0,1.6032
-5.5,-7.0,1.6032
-5.0,-7.0,1.6032
-4.5,-7.0,1.6032
-4.0,-7.0,1.6032
-3.5,-7.0,1.6032
-3.0,-7.0,1.6032
-2.5,-7.0,1.60319
-2.0,-7.0,1.60318
-1.5,-7.0,1.60315
-1.0,-7.0,1.60307
-0.5,-7.0,1.60284
0.0,-7.0,1.60215
0.5,-7.0,1.60012
1.0,-7.0,1.59798
1.5,-7.0,1.73216
2.0,-7.0,2.29483
2.5,-7.0,2.87657
3.0,-7.0,3.2571
3.5,-7.0,3.47555
4.0,-7.0,3.59134
4.5,-7.0,3.64345
5.0,-7.0,3.66429
5.5,-7.0,3.67217
6.0,-7.0,3.6751
6.5,-7.0,3.67617
7.0,-7.0,3.67657
7.5,-7.0,3.67672
8.0,-7.0,3.67677
8.5,-7.0,3.67679
9.0,-7.0,3.6768
9.5,-7.0,3.6768
10.0,-7.0,3.6768
-10.0,-6.5,1.6032
-9.5,-6.5,1.6032
-9.0,-6.5,1.6032
-8.5,-6.5,1.6032
-8.0,-6.5,1.6032
-7.5,-6.5,1.6032
-7.0,-6.5,1.6032
-6.5,-6.5,1.6032
-6.0,-6.5,1.6032
-5.5,-6.5,1.6032
-5.0,-6.5,1.6032
-4.5,-6.5,1.6032
-4.0,-6.5,1.6032
-3.5,-6.5,1.6032
-3.0,-6.5,1.6032
-2.5,-6.5,1.60319
-2.0,-6.5,1.60317
-1.5,-6.5,1.60313
-1.0,-6.5,1.60299
-0.5,-6.5,1.60261
0.0,-6.5,1.60147
0.5,-6.5,1.59815
1.0,-6.5,1.59664
1.5,-6.5,1.82428
2.0,-6.5,2.48469
2.5,-6.5,3.04346
3.0,-6.5,3.36854
3.5,-6.5,3.54082
4.0,-6.5,3.62236
4.5,-6.5,3.65617
5.0,-6.5,3.66915
5.5,-6.5,3.67399
6.0,-6.5,3.67577
6.5,-6.5,3.67642
7.0,-6.5,3.67666
7.5,-6.5,3.67675
8.0,-6.5,3.67678
8.5,-6.5,3.67679
9.0,-6.5,3.6768
9.5,-6.5,3.6768
10.0,-6.5,3.6768
-10.0,-6.0,1.6032
-9.5,-6.0,1.6032
-9.0,-6.0,1.6032
-8.5,-6.0,1.6032
-8.0,-6.0,1.6032
-7.5,-6.0,1.6032
-7.0,-6.0,1.6032
-6.5,-6.0,1.6032
-6.0,-6.0,1.6032
-5.5,-6.0,1.6032
-5.0,-6.0,1.6032
-4.5,-6.0,1.6032
-4.0,-6.0,1.6032
-3.5,-6.0,1.6032
-3.0,-6.0,1.60319
-2.5,-6.0,1.60318
-2.0,-6.0,1.60316
-1.5,-6.0,1.60308
-1.0,-6.0,1.60286
-0.5,-6.0,1.60222
0.0,-6.0,1.60035
0.5,-6.0,1.59494
1.0,-6.0,1.59757
1.5,-6.0,1.95953
2.0,-6.0,2.68981
2.5,-6.0,3.1961
3.0,-6.0,3.46083
3.5,-6.0,3.58809
4.0,-6.0,3.64274
4.5,-6.0,3.66413
5.0,-6.0,3.67214
5.5,-6.0,3.67509
6.0,-6.0,3.67617
6.5,-6.0,3.67657
7.0,-6.0,3.67672
7.5,-6.0,3.67677
8.0,-6.0,3.67679
8.5,-6.0,3.6768
9.0,-6.0,3.6768
9.5,-6.0,3.6768
10.0,-6.0,3.6768
-10.0,-5.5,1.6032
-9.5,-5.5,1.6032
-9.0,-5.5,1.6032
-8.5,-5.5,1.6032
-8.0,-5.5,1.6032
-7.5,-5.5,1.6032
-7.0,-5.5,1.6032
-6.5,-5.5,1.6032
-6.0,-5.5,1.6032
-5.5,-5.5,1.6032
-5.0,-5.5,1.6032
-4.5,-5.5,1.6032
-4.0,-5.5,1.6032
-3.5,-5.5,1.6032
-3.0,-5.5,1.60319
-2.5,-5.5,1.60317
-2.0,-5.5,1.60313
-1.5,-5.5,1.603
-1.0,-5.5,1.60263
-0.5,-5.5,1.60159
0.0,-5.5,1.59852
0.5,-5.5,1.58976
1.0,-5.5,1.60636
1.5,-5.5,2.14264
2.0,-5.5,2.89613
