iteration,theta0,theta1,gain_plus_bias
0,0.0,0.0,9.4375
1,0.27773437499999964,-0.007031250000000065,4.465553140918933
2,10.430706151546834,1.8221629380466207,-3.088160700013246
3,10.430706151706197,1.2742833502987105,-2.6914332922854345
4,10.43070615218292,0.3318299395842641,-1.6951710568220535
5,10.430706155322413,-0.7978244529614242,-0.3369141415684149
6,10.430706185385002,-1.9905064255923164,0.6134718082948862
7,10.430706511857105,-2.0627502602443726,0.6505232357764967
8,10.430706889066013,-2.3683541807781423,0.7857049225621662
9,10.430707584016295,-3.1819720487339853,1.011776995135926
