iteration,theta0,theta1,gain
0,0.0,0.0,1.3124999999999998
1,2.080181685435464,-5.396073885618686,3.0259872493425966
2,6.084712060109563,-11.659935810048953,3.5540098326149123
3,8.283820117745456,-14.507132627418287,3.646290201710648
4,5.252589807084476,-7.154800650915806,3.6679727018317227
5,0.15269546525478805,4.351932255722128,3.6143322874502055
6,4.40467495508612,-3.299116931792131,3.6757493157888974
7,4.157564963858887,0.6364344857423427,3.6767659833983166
8,9.911039278912334,-4.252746932798853,3.6767999564531197
9,21.83764207331637,-9.243915015692309,3.6767999999999983
