theta0,theta1,bias
-10.0,-10.0,7.78057
-9.5,-10.0,7.78057
-9.0,-10.0,7.78057
-8.5,-10.0,7.78057
-8.0,-10.0,7.78057
-7.5,-10.0,7.78057
-7.0,-10.0,7.78057
-6.5,-10.0,7.78057
-6.0,-10.0,7.78057
-5.5,-10.0,7.78057
-5.0,-10.0,7.78058
-4.5,-10.0,7.78058
-4.0,-10.0,7.78058
-3.5,-10.0,7.78058
-3.0,-10.0,7.78059
-2.5,-10.0,7.7806
-2.0,-10.0,7.78062
-1.5,-10.0,7.78065
-1.0,-10.0,7.7807
-0.5,-10.0,7.7808
0.0,-10.0,7.78099
0.5,-10.0,7.78135
1.0,-10.0,7.78129
1.5,-10.0,7.75592
2.0,-10.0,6.99547
2.5,-10.0,3.84057
3.0,-10.0,-0.02279
3.5,-10.0,-3.48874
4.0,-10.0,-5.67771
4.5,-10.0,-7.16485
5.0,-10.0,-8.27156
5.5,-10.0,-8.89538
6.0,-10.0,-9.14397
6.5,-10.0,-9.18388
7.0,-10.0,-9.10235
7.5,-10.0,-8.92017
8.0,-10.0,-8.62298
8.5,-10.0,-8.18271
9.0,-10.0,-7.57795
9.5,-10.0,-6.81806
10.0,-10.0,-5.96096
-10.0,-9.5,7.78043
-9.5,-9.5,7.78043
-9.0,-9.5,7.78043
-8.5,-9.5,7.78043
-8.0,-9.5,7.78043
-7.5,-9.5,7.78043
-7.0,-9.5,7.78043
-6.5,-9.5,7.78043
-6.0,-9.5,7.78043
-5.5,-9.5,7.78043
-5.0,-9.5,7.78043
-4.5,-9.5,7.78043
-4.0,-9.5,7.78044
-3.5,-9.5,7.78044
-3.0,-9.5,7.78045
-2.5,-9.5,7.78047
-2.0,-9.5,7.7805
-1.5,-9.5,7.78055
-1.0,-9.5,7.78064
-0.5,-9.5,7.7808
0.0,-9.5,7.78111
0.5,-9.5,7.78171
1.0,-9.5,7.78158
1.5,-9.5,7.73397
2.0,-9.5,6.5155
2.5,-9.5,2.79646
3.0,-9.5,-1.26977
3.5,-9.5,-4.46302
4.0,-9.5,-6.39366
4.5,-9.5,-7.75135
5.0,-9.5,-8.62253
5.5,-9.5,-9.02689
6.0,-9.5,-9.13826
6.5,-9.5,-9.0853
7.0,-9.5,-8.91394
7.5,-9.5,-8.62078
8.0,-9.5,-8.182
8.5,-9.5,-7.57777
9.0,-9.5,-6.81809
9.5,-9.5,-5.96106
10.0,-9.5,-5.10392
-10.0,-9.0,7.78018
-9.5,-9.0,7.78018
-9.0,-9.0,7.78018
-8.5,-9.0,7.78018
-8.0,-9.0,7.78018
-7.5,-9.0,7.78018
-7.0,-9.0,7.78018
-6.5,-9.0,7.78018
-6.0,-9.0,7.78019
-5.5,-9.0,7.78019
-5.0,-9.0,7.78019
-4.5,-9.0,7.78019
-4.0,-9.0,7.7802
-3.5,-9.0,7.78021
-3.0,-9.0,7.78023
-2.5,-9.0,7.78026
-2.0,-9.0,7.7803
-1.5,-9.0,7.78039
-1.0,-9.0,7.78053
-0.5,-9.0,7.7808
0.0,-9.0,7.78131
0.5,-9.0,7.78231
1.0,-9.0,7.78198
1.5,-9.0,7.68948
2.0,-9.0,5.84363
2.5,-9.0,1.59735
3.0,-9.0,-2.53226
3.5,-9.0,-5.35543
4.0,-9.0,-7.07748
4.5,-9.0,-8.22838
5.0,-9.0,-8.84413
5.5,-9.0,-9.06453
6.0,-9.0,-9.05736
6.5,-9.0,-8.90369
7.0,-9.0,-8.61714
7.5,-9.0,-8.18081
8.0,-9.0,-7.57749
8.5,-9.0,-6.81814
9.0,-9.0,-5.96124
9.5,-9.0,-5.10414
10.0,-9.0,-4.34398
-10.0,-8.5,7.77978
-9.5,-8.5,7.77978
-9.0,-8.5,7.77978
-8.5,-8.5,7.77978
-8.0,-8.5,7.77978
-7.5,-8.5,7.77978
-7.0,-8.5,7.77978
-6.5,-8.5,7.77979
-6.0,-8.5,7.77979
-5.5,-8.5,7.77979
-5.0,-8.5,7.77979
-4.5,-8.5,7.7798
-4.0,-8.5,7.77981
-3.5,-8.5,7.77983
-3.0,-8.5,7.77985
-2.5,-8.5,7.7799
-2.0,-8.5,7.77998
-1.5,-8.5,7.78012
-1.0,-8.5,7.78036
-0.5,-8.5,7.78079
0.0,-8.5,7.78164
0.5,-8.5,7.78328
1.0,-8.5,7.78247
1.5,-8.5,7.59832
2.0,-8.5,4.94986
2.5,-8.5,0.25461
3.0,-8.5,-3.73751
3.5,-8.5,-6.18235
4.0,-8.5,-7.68216
4.5,-8.5,-8.56652
5.0,-8.5,-8.94672
5.5,-8.5,-9.01179
6.0,-8.5,-8.88684
6.5,-8.5,-8.61116
7.0,-8.5,-8.17886
7.5,-8.5,-7.57703
8.0,-8.5,-6.81822
8.5,-8.5,-5.96152
9.0,-8.5,-5.10449
9.5,-8.5,-4.34437
10.0,-8.5,-3.73878
-10.0,-8.0,7.77912
-9.5,-8.0,7.77912
-9.0,-8.0,7.77912
-8.5,-8.0,7.77912
-8.0,-8.0,7.77912
-7.5,-8.0,7.77912
-7.0,-8.0,7.77913
-6.5,-8.0,7.77913
-6.0,-8.0,7.77913
-5.5,-8.0,7.77913
-5.0,-8.0,7.77914
-4.5,-8.0,7.77915
-4.0,-8.0,7.77917
-3.5,-8.0,7.77919
-3.0,-8.0,7.77924
-2.5,-8.0,7.77932
-2.0,-8.0,7.77945
-1.5,-8.0,7.77968
-1.0,-8.0,7.78007
-0.5,-8.0,7.78079
0.0,-8.0,7.78218
0.5,-8.0,7.78488
1.0,-8.0,7.78279
1.5,-8.0,7.41508
2.0,-8.0,3.81312
2.5,-8.0,-1.18678
3.0,-8.0,-4.84418
3.5,-8.0,-6.93318
4.0,-8.0,-8.15789
4.5,-8.0,-8.76152
5.0,-8.0,-8.93789
5.5,-8.0,-8.8592
6.0,-8.0,-8.6013
6.5,-8.0,-8.17564
7.0,-8.0,-7.57626
7.5,-8.0,-6.81836
