iteration,theta0,theta1,v_gamma
0,0.0,0.0,29.03575987980655
1,0.40957936807711276,0.004113193182726708,42.69209148213928
2,3.043326461477436,0.5833121075968042,54.95900306051127
3,3.043604194840481,0.509765479847422,55.03155346112269
4,3.0439245166235502,0.45106815365063213,55.08996082801586
5,3.068559310575052,0.41498774548932826,55.13092294383755
6,3.093185062380993,0.3697381989234328,55.18144508679682
7,3.0935667361860575,0.28884097922518853,55.26336284491614
8,3.1181137627866935,0.23311907946893792,55.32523349358667
9,3.1185875204673708,0.15388286870882506,55.405455090191474
10,3.1191390581775154,0.07682944089933971,55.482766454042725
11,3.143545261276948,0.023223520626190035,55.5423893330976
12,3.1916402183563544,-0.00757161448367915,55.58560711257237
13,3.287269360100106,0.009554239995550454,55.5919687998347
14,3.3119893500881865,-0.04435005682058794,55.65265814088392
15,3.3125457208152222,-0.12379111673911469,55.73248411969033
16,3.336946455755444,-0.17712645276904182,55.7914535414842
17,3.361326585312999,-0.2268004388035628,55.84636777441923
18,3.362045149276271,-0.2990749632589272,55.91546893600275
19,3.386360802850859,-0.3434689238534944,55.963912045588
20,3.387217068144535,-0.42019456565804003,56.03366804926424
21,3.3882063720816893,-0.5052997296816495,56.10745139568809
22,3.4816114312074817,-0.4904954924145678,56.12498475747767
23,3.505884498780853,-0.5305093620044109,56.1671885536812
24,3.530149000006496,-0.5748902552271384,56.212509181009196
25,3.600888021440377,-0.5724550967595678,56.23212422144199
26,3.6017679087660985,-0.6563334322487197,56.30246378193353
27,3.649235507383022,-0.7078751001279062,56.3588474473424
28,3.6502739970447595,-0.8012548740564412,56.42997679233961
29,3.6828019753604844,-0.8571806373793023,56.481142842586266
30,3.7070037567004355,-0.9085829143037883,56.52479360650372
31,3.7588221270774054,-0.9185852052738274,56.54995142750279
32,3.760079759714018,-0.9682614186337695,56.58295251808359
33,3.761457731265379,-1.0083934453665047,56.60839774805206
34,3.7629399873849643,-1.0751448517929323,56.64766553340807
35,3.832143653693482,-1.074593004353356,56.674172667182525
36,3.833613363226534,-1.132118043030362,56.70662729631354
37,3.925451581536616,-1.109356687454408,56.72839556319256
38,3.9267676863880374,-1.1571197053661637,56.75568420231906
39,3.9509566824684645,-1.1919556902774984,56.78324615366919
40,3.952422250953989,-1.2285633787157417,56.802402488579744
41,3.9992251463123822,-1.2194071987490729,56.815390284975635
42,4.023415823014562,-1.2329666391392358,56.83120437046402
43,4.024797183010246,-1.3231250735097744,56.874755041465
44,4.053772926239996,-1.3104589421424628,56.88021951461435
45,4.100634647070351,-1.3343395146558663,56.90873675684503
46,4.102080120215101,-1.3694943333782061,56.92485928908784
47,4.108412898925259,-1.413558547710967,56.945482208538834
48,4.132596950876653,-1.4612589278962367,56.9732428584493
49,4.224157994615703,-1.4176259803435507,56.99063406955126
50,4.248354269607587,-1.405396756452003,56.9937658059498
51,4.272560830687175,-1.4410633011995833,57.01776686534899
52,4.319688707953085,-1.502550781792996,57.05953414145096
53,4.3210019987859125,-1.561678354723857,57.08190439421337
54,4.367911999040071,-1.5499152851606712,57.0946692532971
55,4.414999200423075,-1.538027446602028,57.106291053890544
56,4.439217690912352,-1.5363544966497946,57.11363063409598
57,4.486558950865525,-1.5750737743222527,57.144358368335396
58,4.510791642215452,-1.585930884819039,57.1563695493144
59,4.535030363698851,-1.5837586954426532,57.16318758892342
60,4.559281781766905,-1.6334625084534848,57.189750570397585
61,4.560350845193107,-1.667266009730621,57.20201759177418
62,4.58457568794216,-1.6912282953953732,57.218013035600876
63,4.608800628547151,-1.6881648425814764,57.22486430455131
64,4.633037382051386,-1.6986404618689903,57.23614124263037
65,4.634089158053767,-1.7186935492927413,57.24310933059544
66,4.6583235551917035,-1.7701498563452873,57.266872442122555
67,4.659471705955748,-1.789604029801416,57.272813180618094
68,4.683687464576568,-1.7858669148574469,57.27978432019002
69,4.68481483070012,-1.791225214996823,57.28169130258729
