method_name,seed,tuning_samples,learning_samples,total_samples
discounting_free_vanilla_sampling,65,0,9264,9264
discounting_free_vanilla_sampling,66,0,6608,6608
discounting_free_vanilla_sampling,67,0,8080,8080
discounting_free_vanilla_sampling,68,0,6592,6592
discounting_free_vanilla_sampling,69,0,5472,5472
discounting_free_vanilla_sampling,70,0,5536,5536
discounting_free_vanilla_sampling,71,0,5136,5136
discounting_free_vanilla_sampling,72,0,7168,7168
discounting_free_vanilla_sampling,73,0,7296,7296
discounting_free_vanilla_sampling,74,0,8432,8432
discounting_free_vanilla_sampling,75,0,6592,6592
discounting_free_vanilla_sampling,76,0,7312,7312
discounting_free_vanilla_sampling,77,0,7728,7728
discounting_free_vanilla_sampling,78,0,6624,6624
discounting_free_vanilla_sampling,79,0,6944,6944
discounting_free_vanilla_sampling,80,0,7088,7088
discounting_free_vanilla_sampling,81,0,6544,6544
discounting_free_vanilla_sampling,82,0,7344,7344
discounting_free_vanilla_sampling,83,0,5504,5504
discounting_free_vanilla_sampling,84,0,7696,7696
discounting_free_vanilla_sampling,85,0,6912,6912
discounting_free_vanilla_sampling,86,0,5520,5520
discounting_free_vanilla_sampling,87,0,6304,6304
discounting_free_vanilla_sampling,88,0,6592,6592
discounting_free_vanilla_sampling,89,0,6560,6560
discounting_free_vanilla_sampling,90,0,9200,9200
discounting_free_vanilla_sampling,91,0,6880,6880
discounting_free_vanilla_sampling,92,0,6240,6240
discounting_free_vanilla_sampling,93,0,6992,6992
discounting_free_vanilla_sampling,94,0,6688,6688
discounting_free_vanilla_sampling,95,0,8032,8032
discounting_free_vanilla_sampling,96,0,7408,7408
discounting_free_vanilla_sampling,97,0,6272,6272
discounting_free_vanilla_sampling,98,0,8208,8208
discounting_free_vanilla_sampling,99,0,5104,5104
discounting_free_vanilla_sampling,100,0,7344,7344
discounting_free_vanilla_sampling,101,0,7312,7312
discounting_free_vanilla_sampling,102,0,6592,6592
discounting_free_vanilla_sampling,103,0,7344,7344
discounting_free_vanilla_sampling,104,0,7344,7344
discounting_free_vanilla_sampling,105,0,6576,6576
discounting_free_vanilla_sampling,106,0,5904,5904
discounting_free_vanilla_sampling,107,0,6144,6144
discounting_free_vanilla_sampling,108,0,5104,5104
discounting_free_vanilla_sampling,109,0,6944,6944
discounting_free_vanilla_sampling,110,0,6528,6528
discounting_free_vanilla_sampling,111,0,6144,6144
discounting_free_vanilla_sampling,112,0,7360,7360
discounting_free_vanilla_sampling,113,0,6928,6928
discounting_free_vanilla_sampling,114,0,6272,6272
discounting_free_vanilla_sampling,115,0,8048,8048
discounting_free_vanilla_sampling,116,0,6944,6944
discounting_free_vanilla_sampling,117,0,6528,6528
discounting_free_vanilla_sampling,118,0,6944,6944
discounting_free_vanilla_sampling,119,0,7344,7344
