theta0,theta1,bias
-10.0,-10.0,11.00002
-9.5,-10.0,11.00002
-9.0,-10.0,11.00002
-8.5,-10.0,11.00002
-8.0,-10.0,11.00002
-7.5,-10.0,11.00002
-7.0,-10.0,11.00002
-6.5,-10.0,11.00002
-6.0,-10.0,11.00002
-5.5,-10.0,11.00002
-5.0,-10.0,11.00002
-4.5,-10.0,11.00002
-4.0,-10.0,11.00002
-3.5,-10.0,11.00002
-3.0,-10.0,11.00002
-2.5,-10.0,11.00002
-2.0,-10.0,11.00002
-1.5,-10.0,11.00002
-1.0,-10.0,11.00002
-0.5,-10.0,11.00002
0.0,-10.0,11.00002
0.5,-10.0,11.00002
1.0,-10.0,11.00002
1.5,-10.0,11.00002
2.0,-10.0,11.00002
2.5,-10.0,11.00002
3.0,-10.0,11.00002
3.5,-10.0,11.00002
4.0,-10.0,11.00002
4.5,-10.0,11.00002
5.0,-10.0,11.00002
5.5,-10.0,11.00002
6.0,-10.0,11.00002
6.5,-10.0,11.00002
7.0,-10.0,11.00002
7.5,-10.0,11.00002
8.0,-10.0,11.00002
8.5,-10.0,11.00002
9.0,-10.0,11.00002
9.5,-10.0,11.00002
10.0,-10.0,11.00002
-10.0,-9.5,11.00004
-9.5,-9.5,11.00004
-9.0,-9.5,11.00004
-8.5,-9.5,11.00004
-8.0,-9.5,11.00004
-7.5,-9.5,11.00004
-7.0,-9.5,11.00004
-6.5,-9.5,11.00004
-6.0,-9.5,11.00004
-5.5,-9.5,11.00004
-5.0,-9.5,11.00004
-4.5,-9.5,11.00004
-4.0,-9.5,11.00004
-3.5,-9.5,11.00004
-3.0,-9.5,11.00004
-2.5,-9.5,11.00004
-2.0,-9.5,11.00004
-1.5,-9.5,11.00004
-1.0,-9.5,11.00004
-0.5,-9.5,11.00004
0.0,-9.5,11.00004
0.5,-9.5,11.00004
1.0,-9.5,11.00004
1.5,-9.5,11.00004
2.0,-9.5,11.00004
2.5,-9.5,11.00004
3.0,-9.5,11.00004
3.5,-9.5,11.00004
4.0,-9.5,11.00004
4.5,-9.5,11.00004
5.0,-9.5,11.00004
5.5,-9.5,11.00004
6.0,-9.5,11.00004
6.5,-9.5,11.00004
7.0,-9.5,11.00004
7.5,-9.5,11.00004
8.0,-9.5,11.00004
8.5,-9.5,11.00004
9.0,-9.5,11.00004
9.5,-9.5,11.00004
10.0,-9.5,11.00004
-10.0,-9.0,11.00006
-9.5,-9.0,11.00006
-9.0,-9.0,11.00006
-8.5,-9.0,11.00006
-8.0,-9.0,11.00006
-7.5,-9.0,11.00006
-7.0,-9.0,11.00006
-6.5,-9.0,11.00006
-6.0,-9.0,11.00006
-5.5,-9.0,11.00006
-5.0,-9.0,11.00006
-4.5,-9.0,11.00006
-4.0,-9.0,11.00006
-3.5,-9.0,11.00006
-3.0,-9.0,11.00006
-2.5,-9.0,11.00006
-2.0,-9.0,11.00006
-1.5,-9.0,11.00006
-1.0,-9.0,11.00006
-0.5,-9.0,11.00006
0.0,-9.0,11.00006
0.5,-9.0,11.00006
1.0,-9.0,11.00006
1.5,-9.0,11.00006
2.0,-9.0,11.00006
2.5,-9.0,11.00006
3.0,-9.0,11.00006
3.5,-9.0,11.00006
4.0,-9.0,11.00006
4.5,-9.0,11.00006
5.0,-9.0,11.00006
5.5,-9.0,11.00006
6.0,-9.0,11.00006
6.5,-9.0,11.00006
7.0,-9.0,11.00006
7.5,-9.0,11.00006
8.0,-9.0,11.00006
8.5,-9.0,11.00006
9.0,-9.0,11.00006
9.5,-9.0,11.00006
10.0,-9.0,11.00006
-10.0,-8.5,11.0001
-9.5,-8.5,11.0001
-9.0,-8.5,11.0001
-8.5,-8.5,11.0001
-8.0,-8.5,11.0001
-7.5,-8.5,11.0001
-7.0,-8.5,11.0001
-6.5,-8.5,11.0001
-6.0,-8.5,11.0001
-5.5,-8.5,11.0001
-5.0,-8.5,11.0001
-4.5,-8.5,11.0001
-4.0,-8.5,11.0001
-3.5,-8.5,11.0001
-3.0,-8.5,11.0001
-2.5,-8.5,11.0001
-2.0,-8.5,11.0001
-1.5,-8.5,11.0001
-1.0,-8.5,11.0001
-0.5,-8.5,11.0001
0.0,-8.5,11.0001
0.5,-8.5,11.0001
1.0,-8.5,11.0001
1.5,-8.5,11.0001
2.0,-8.5,11.0001
2.5,-8.5,11.0001
