iteration,theta0,theta1,gain_plus_bias
94,-4.782148920982693,-5.393449398385422,2.9909678338202754
95,-4.797448437525745,-5.417776371793648,2.9911836585484375
96,-4.812153124716851,-5.441292825372827,2.9913874160313036
97,-4.826306007490762,-5.464053852390675,2.9915801666596242
98,-4.839945631244146,-5.4861090048366306,2.9917628452484246
99,-4.8531066624351125,-5.507503019938766,2.991936279536557
100,-4.865820391724752,-5.528276430643269,2.992101205456888
101,-4.878115158060308,-5.548466081704852,2.992258279823781
102,-4.890016708166224,-5.5681055684514025,2.992408090939383
103,-4.901548502909348,-5.587225611781117,2.9925511675109964
104,-4.9127319796959315,-5.605854380246783,2.992687986188785
105,-4.923586778266203,-5.624017767978828,2.992818977969416
106,-4.93413093585067,-5.641739635550024,2.9929445336621447
107,-4.944381056547606,-5.659042019582503,2.9930650085754706
