theta0,theta1,gain
6.0,-8.0,3.54997
6.5,-8.0,3.33124
7.0,-8.0,3.05167
7.5,-8.0,2.72954
8.0,-8.0,2.39987
8.5,-8.0,2.10098
9.0,-8.0,1.85835
9.5,-8.0,1.67845
10.0,-8.0,1.55381
-10.0,-7.5,4.0
-9.5,-7.5,4.0
-9.0,-7.5,4.0
-8.5,-7.5,4.0
-8.0,-7.5,4.0
-7.5,-7.5,4.0
-7.0,-7.5,4.0
-6.5,-7.5,4.0
-6.0,-7.5,3.99999
-5.5,-7.5,3.99999
-5.0,-7.5,3.99999
-4.5,-7.5,3.99998
-4.0,-7.5,3.99996
-3.5,-7.5,3.99993
-3.0,-7.5,3.99989
-2.5,-7.5,3.99982
-2.0,-7.5,3.9997
-1.5,-7.5,3.99951
-1.0,-7.5,3.99919
-0.5,-7.5,3.99866
0.0,-7.5,3.99779
0.5,-7.5,3.99636
1.0,-7.5,3.994
1.5,-7.5,3.99012
2.0,-7.5,3.98375
2.5,-7.5,3.97331
3.0,-7.5,3.95629
3.5,-7.5,3.92869
4.0,-7.5,3.88443
4.5,-7.5,3.81467
5.0,-7.5,3.70762
5.5,-7.5,3.54995
6.0,-7.5,3.3312
6.5,-7.5,3.05162
7.0,-7.5,2.72947
7.5,-7.5,2.39978
8.0,-7.5,2.10088
8.5,-7.5,1.85824
9.0,-7.5,1.67832
9.5,-7.5,1.55368
10.0,-7.5,1.47134
-10.0,-7.0,4.0
-9.5,-7.0,4.0
-9.0,-7.0,4.0
-8.5,-7.0,4.0
-8.0,-7.0,4.0
-7.5,-7.0,4.0
-7.0,-7.0,4.0
-6.5,-7.0,3.99999
-6.0,-7.0,3.99999
-5.5,-7.0,3.99999
-5.0,-7.0,3.99998
-4.5,-7.0,3.99996
-4.0,-7.0,3.99993
-3.5,-7.0,3.99989
-3.0,-7.0,3.99982
-2.5,-7.0,3.9997
-2.0,-7.0,3.99951
-1.5,-7.0,3.99919
-1.0,-7.0,3.99866
-0.5,-7.0,3.99779
0.0,-7.0,3.99636
0.5,-7.0,3.994
1.0,-7.0,3.99012
1.5,-7.0,3.98375
2.0,-7.0,3.97331
2.5,-7.0,3.95628
3.0,-7.0,3.92868
3.5,-7.0,3.88442
4.0,-7.0,3.81465
4.5,-7.0,3.70759
5.0,-7.0,3.54991
5.5,-7.0,3.33114
6.0,-7.0,3.05153
6.5,-7.0,2.72935
7.0,-7.0,2.39964
7.5,-7.0,2.10071
8.0,-7.0,1.85805
8.5,-7.0,1.67811
9.0,-7.0,1.55346
9.5,-7.0,1.47111
10.0,-7.0,1.41841
-10.0,-6.5,4.0
-9.5,-6.5,4.0
-9.0,-6.5,4.0
-8.5,-6.5,4.0
-8.0,-6.5,4.0
-7.5,-6.5,4.0
-7.0,-6.5,3.99999
-6.5,-6.5,3.99999
-6.0,-6.5,3.99999
-5.5,-6.5,3.99998
-5.0,-6.5,3.99996
-4.5,-6.5,3.99993
-4.0,-6.5,3.99989
-3.5,-6.5,3.99982
-3.0,-6.5,3.9997
-2.5,-6.5,3.99951
-2.0,-6.5,3.99919
-1.5,-6.5,3.99866
-1.0,-6.5,3.99779
-0.5,-6.5,3.99636
0.0,-6.5,3.994
0.5,-6.5,3.99012
1.0,-6.5,3.98375
1.5,-6.5,3.97331
2.0,-6.5,3.95628
2.5,-6.5,3.92867
3.0,-6.5,3.8844
3.5,-6.5,3.81462
4.0,-6.5,3.70755
4.5,-6.5,3.54984
5.0,-6.5,3.33104
5.5,-6.5,3.05139
6.0,-6.5,2.72917
6.5,-6.5,2.3994
7.0,-6.5,2.10043
7.5,-6.5,1.85773
8.0,-6.5,1.67777
8.5,-6.5,1.5531
9.0,-6.5,1.47074
9.5,-6.5,1.41803
10.0,-6.5,1.38498
-10.0,-6.0,4.0
-9.5,-6.0,4.0
-9.0,-6.0,4.0
-8.5,-6.0,4.0
-8.0,-6.0,4.0
-7.5,-6.0,3.99999
-7.0,-6.0,3.99999
-6.5,-6.0,3.99999
-6.0,-6.0,3.99998
-5.5,-6.0,3.99996
-5.0,-6.0,3.99993
-4.5,-6.0,3.99989
-4.0,-6.0,3.99982
-3.5,-6.0,3.9997
-3.0,-6.0,3.99951
-2.5,-6.0,3.99919
-2.0,-6.0,3.99866
-1.5,-6.0,3.99779
-1.0,-6.0,3.99636
-0.5,-6.0,3.994
0.0,-6.0,3.99012
0.5,-6.0,3.98374
1.0,-6.0,3.9733
1.5,-6.0,3.95627
2.0,-6.0,3.92865
2.5,-6.0,3.88437
3.0,-6.0,3.81458
3.5,-6.0,3.70747
4.0,-6.0,3.54973
4.5,-6.0,3.33088
5.0,-6.0,3.05116
5.5,-6.0,2.72886
6.0,-6.0,2.39901
6.5,-6.0,2.09997
7.0,-6.0,1.85721
7.5,-6.0,1.67721
8.0,-6.0,1.55251
8.5,-6.0,1.47013
9.0,-6.0,1.4174
9.5,-6.0,1.38434
10.0,-6.0,1.36387
-10.0,-5.5,4.0
-9.5,-5.5,4.0
-9.0,-5.5,4.0
-8.5,-5.5,4.0
-8.0,-5.5,3.99999
-7.5,-5.5,3.99999
-7.0,-5.5,3.99999
-6.5,-5.5,3.99998
-6.0,-5.5,3.99996
-5.5,-5.5,3.99993
-5.0,-5.5,3.99989
-4.5,-5.5,3.99982
-4.0,-5.5,3.9997
-3.5,-5.5,3.99951
-3.0,-5.5,3.99919
-2.5,-5.5,3.99866
-2.0,-5.5,3.99779
-1.5,-5.5,3.99635
-1.0,-5.5,3.99399
-0.5,-5.5,3.99011
0.0,-5.5,3.98374
0.5,-5.5,3.97329
1.0,-5.5,3.95625
1.5,-5.5,3.92862
2.0,-5.5,3.88433
2.5,-5.5,3.8145
3.0,-5.5,3.70736
3.5,-5.5,3.54955
4.0,-5.5,3.33061
4.5,-5.5,3.05078
5.0,-5.5,2.72835
5.5,-5.5,2.39837
6.0,-5.5,2.09921
6.5,-5.5,1.85636
7.0,-5.5,1.67628
7.5,-5.5,1.55153
8.0,-5.5,1.46912
8.5,-5.5,1.41637
9.0,-5.5,1.3833
9.5,-5.5,1.36282
10.0,-5.5,1.35024
-10.0,-5.0,4.0
-9.5,-5.0,4.0
-9.0,-5.0,4.0
-8.5,-5.0,3.99999
-8.0,-5.0,3.99999
-7.5,-5.0,3.99999
-7.0,-5.0,3.99998
-6.5,-5.0,3.99996
-6.0,-5.0,3.99993
-5.5,-5.0,3.99989
-5.0,-5.0,3.99982
-4.5,-5.0,3.9997
-4.0,-5.0,3.99951
-3.5,-5.0,3.99919
