method_name,real_mean,real_std,real_median,scaled_mean,scaled_std,scaled_median
D_N_Pop,1255456.0,2601.8577978052526,1254400.0,1255.456,2.601857797805253,1254.4
D_N_Prop,171525.69,2139.65549420929,171404.0,171.52569,2.13965549420929,171.404
D_V_Pop,259200.0,0.0,259200.0,259.2,0.0,259.2
D_V_Prop,148876.73,1320.8997150048901,148836.0,148.87673,1.3208997150048902,148.836
DF_N,1146.08,228.5666502357682,1104.0,1.14608,0.22856665023576822,1.104
DF_V,1994.72,553.7019790464902,1776.0,1.99472,0.5537019790464902,1.776
