iteration,theta0,theta1,gain_plus_bias
0,0.0,0.0,4.0
1,2.25,0.5,5.375411657600843
2,2.2563825009032263,0.267123788099481,5.430977456209252
3,2.264283194395375,0.024164541666031658,5.490677794967904
4,2.274116517736426,-0.22252119212129212,5.551325622825208
5,2.2863286773094447,-0.46538110381086234,5.609281668235527
6,2.3013284236030125,-0.6973189969405337,5.661557418413518
7,2.3193990134654325,-0.9132080226731853,5.706563860709913
8,2.3406256542070296,-1.1104835148163814,5.744115958888982
9,2.364869842007492,-1.288787572566426,5.774939061906718
10,2.391797312821119,-1.4491887449337082,5.800127030157543
11,2.4209418766332527,-1.5934522735617596,5.820786765206316
12,2.451778970827682,-1.7235451980975895,5.83787682074996
13,2.4837885958786368,-1.8413638788082145,5.852166807481403
14,2.5164982148733075,-1.9486118503904315,5.864252196698911
15,2.5495052748484848,-2.046763010427995,5.874586695594109
16,2.582483841651933,-2.137067270098146,5.883515107674176
17,2.6151810478314355,-2.220574193303933,5.891300784690988
18,2.647408238689451,-2.2981619211518876,5.898146736020658
19,2.6790302243188604,-2.3705653824491066,5.904211241100772
20,2.7099546632757736,-2.4384013448013,5.9096192051379814
21,2.7401225880727806,-2.50218962823459,5.914470385201139
22,2.769500441610091,-2.562370611832362,5.918845369770222
23,2.7980736380486237,-2.6193194815071634,5.9228099596059725
24,2.8258414924299875,-2.6733577467707215,5.926418410675621
25,2.8528133029454894,-2.7247625281906678,5.9297158624920305
26,2.8790053663985535,-2.7737740512422766,5.9327401781593645
27,2.9044387300218677,-2.8206017078263232,5.9355233550300515
28,2.929137514298717,-2.865428977393431,5.938092618365123
29,2.9531276732219665,-2.9084174402048806,5.940471278247587
30,2.9764360867554194,-2.949710066522537,5.94267940766269
31,2.9990899039369436,-2.989433926508486,5.944734384009726
32,3.0211160741068763,-3.0277024348216925,5.946651325237829
33,3.042541018701622,-3.0646172197774737,5.948443443880885
34,3.063390407616476,-3.100269688106975,5.950122336543407
35,3.083689012991389,-3.134742341668725,5.951698222206726
36,3.103460619999967,-3.1681098909991925,5.953180139635888
37,3.1227279793123404,-3.200440201617499,5.9545761118629015
38,3.141512789744029,-3.2317951019565454,5.95589328398562
39,3.159835702497165,-3.26223107624327,5.957138039201313
40,3.1777163405789417,-3.291799861259731,5.958316096981411
41,3.1951733286212125,-3.320548962426954,5.959432596510934
42,3.21222432955802,-3.348522101867381,5.9604921679061516
43,3.2288860855449215,-3.375759608867098,5.961498993245137
44,3.2451744612010147,-3.402298761358318,5.962456859067736
45,3.261104487778223,-3.4281740855848746,5.963369201700567
46,3.2766904072554417,-3.4534176199280457,5.964239146522184
47,3.2919457156497276,-3.478059147901689,5.96506954208991
48,3.306883205056854,-3.5021264045312113,5.9658629898933455
49,3.3215150040976735,-3.5256452596763017,5.966621870372323
50,3.335852616568312,-3.548639881315804,5.967348365733181
51,3.3499069581819096,-3.5711328813631895,5.968044480011953
52,3.363688391355007,-3.593145446205953,5.968712056762816
53,3.377206758038909,-3.614697453848173,5.969352794692054
54,3.390471410629841,-3.6358075792716367,5.9699682615094565
55,3.403491241014831,-3.656493389408465,5.970559906228867
56,3.4162747078257385,-3.676771428929956,5.971129070115869
57,3.4288298619835116,-3.696657297896629,5.971676996452358
58,3.4411643706202106,-3.716165722178398,5.972204839263861
59,3.4532855394686592,-3.735310617437632,5.97271367113538
60,3.4652003338096398,-3.754105147368294,5.973204490224448
61,3.4769153980650436,-3.772561776798853,5.973678226565551
62,3.4884370741226918,-3.790692320192958,5.97413574774773
63,3.499771418475198,-3.8085079860182227,5.974577864036576
64,3.510924218251324,-3.8260194173983346,5.97500533300276
65,3.5219010062141947,-3.843236729415831,5.975418863711464
66,3.53270707479646,-3.8601695433912178,5.975819120520352
67,3.543347489238256,-3.8768270184277567,5.9762067265279315
68,3.5538270998896366,-3.8932178804794466,5.976582266709117
69,3.5641505537350837,-3.909350449171885,5.976946290770488
70,3.574322305193841,-3.925232662581201,5.977299315753924
71,3.5843466262460875,-3.9408721001547424,5.977641828414009
72,3.5942276159314757,-3.956276003938198,5.977974287391725
73,3.6039692092632607,-3.9714512982570573,5.978297125204437
74,3.613575185598159,-3.98640460798546,5.978610750069943
75,3.6230491764991766,-4.00114227552232,5.97891554758049
76,3.632394673125957,-4.015670376582895,5.979211882240859
77,3.641615033184682,-4.02999473490357,5.979500098883209
78,3.650713487467253,-4.044120935948337,5.979780523969991
79,3.6596931460072866,-4.0580543396971445,5.980053466795103
80,3.668557003878484,-4.07180009258891,5.980319220592392
81,3.6773079466590626,-4.085363138685322,5.980578063559717
82,3.6859487555842416,-4.0987482301156,5.980830259805959
83,3.694482112407156,-4.1119599368570565,5.981076060227617
84,3.702910603987142,-4.125002655901453,5.981315703321027
85,3.7112367266229658,-4.137880619852836,5.981549415935613
86,3.7194628901473097,-4.150597904998603,5.981777413973113
87,3.7275914217976687,-4.163158438892038,5.981999903037197
88,3.7356245698777637,-4.175566007481341,5.98221707903756
89,3.7435645072225734,-4.18782426181727,5.982429128752133
90,3.751413334479158,-4.199936724368943,5.9826362303507565
91,3.759173083214637,-4.2119067949748885,5.982838553883357
92,3.766845718861861,-4.223737756454337,5.9830362617353865
93,3.774433143512637,-4.23543277990173,5.983229509053065
94,3.781937198567652,-4.2469949296856555,5.983418444140707
95,3.7893596672516643,-4.258427168171764,5.9836032088322595
96,3.7967022770019274,-4.269732360187743,5.983783938838972
97,3.8039667017372767,-4.280913277247055,5.983960764074957
98,3.8111545640148528,-4.291972601546882,5.984133808962266
99,3.8182674370809355,-4.302912929754618,5.984303192716969
100,3.825306846821963,-4.313736776596147,5.984469029617584
101,3.8322742736214064,-4.324446578258234,5.984631429257129
102,3.839171154127815,-4.335044695616454,5.98479049677993
103,3.8459988829390044,-4.3455334172992535,5.9849463331042685
104,3.8527588142070375,-4.355914962598042,5.985099035131809
105,3.8594522631683468,-4.3661914842324725,5.985248695944765
